Intent,Sentence,Outlier
食谱,板栗 怎么 煮,False
联络,新建 联系人 李四 号码 是 一二三四五 六 七八,False
食谱,鸡蛋 的 做法,False
节目,今天 晚上 有没有 中国 好 声音 呢,False
健康,肠胃炎 怎么 治,False
app,打开 汽车 之 家,False
日程,明天 叫 我 8 : 10 起床,False
股票,科大讯飞 的 股票 是 多少 a,False
食谱,不 做 个 红烧肉 怎么 做,False
节目,贵州 卫视 今晚 看 什么 电视剧,False
诗歌,天王 盖地 虎 的 下 一 句 是 什么,False
股票,查询 中国 石化 的 股价,False
电视频道,高清 中央 8,False
网站,打开 百度 哇,False
地图,南山 医院 到 北大医院 路线,False
节目,一站 到底 是 哪个 电视台 播放 的,False
火车,查询 广州 到 北京 的 火车,False
电话,打电话 给 阿华,False
诗歌,我 给 我 念 一 首 李白 的 诗 吧,False
翻译,笑话 用 英语 怎么 说,False
电话,呼叫 王希,False
电视频道,跳 换 到 湖南卫视,False
食谱,猪大肠 怎么 炒,False
食谱,做 苹果 麦片粥 需要 哪些 材料,False
食谱,打 了 怎么 做 红烧肉 的 做法,False
火车,查 一下 明天 下午 南通 到 南京 的 火车票,False
节目,帮 我 搜 下 什么 时间 有 演 星跳水立方,False
股票,九连 股份 今天 股价,False
电视频道,北京 二 台 高清,False
食谱,帮 我 找出 红烧肉 的 做法,False
谜语,出 一个 谜语 给 我 猜猜 吧,False
天气,明天 深圳 天气 怎么样,False
火车,烟台 到 齐齐哈尔 的 火车票,False
节目,湖南卫视 现在 演 什么 节目,False
火车,开封 到 信阳 的 火车,False
诗歌,阿妈 来 一 首 白居易 的 诗,False
食谱,做 红烧肉 怎么 做,False
飞机,有没有 下 周二 到 贵阳 的 航班,False
新闻,t 我 要 听 新闻,False
电话,我 要 打电话 给 人名,False
地图,北京西站 在 哪,False
食谱,鲤鱼 怎么 做,False
诗歌,念首 唐诗 吧,False
火车,从 广州 到 南昌 的 火车票 时刻表,False
食谱,扬州 炒饭,False
比赛,宏大 俱乐部 赛程,False
食谱,酸菜鱼 怎么 烧,False
电视频道,央视 9,False
比赛,广州 恒大 比赛 比分,False
食谱,红烧 牛肉面 我 想来 一 碗,False
比赛,中超 比赛,False
比赛,中超 赛事 预告 你,False
食谱,做 火腿 炒 茄 瓜 需要 什么 材料,False
电话,打电话 给 hello   word,False
翻译,翻译 背 首 诗,False
短信,传 简讯 给 家里,False
火车,连云港 到 徐州 的 火车票,False
食谱,煲 鸡汤,False
网站,打开 网页 猫扑,False
食谱,海虾 的 做法,False
食谱,做 黄 焖 小土豆 怎么 做 啊,False
地图,怎么 去 农业银行,False
食谱,炸 里脊 的 做法,False
短信,给 爸爸 发条 短信 说 爸爸 我 国庆节 回来,False
食谱,做 红烧肉,False
翻译,我 记住 了 用 英文 怎么 讲,False
计算,4 乘 6 然后 再 乘 七 再 除以 二,False
新闻,我 想 知道 今天 的 娱乐 新闻,False
天气,明天 天气 怎样 啊,False
翻译,星期天 早晨 我们 一起 去 打篮球 英语 怎么 说,False
食谱,胡萝卜 怎么 炒 好吃,False
电话,幺 五 八九 三 二八 二八 三八,False
谜语,给 我 打个 谜语 啊,False
电视频道,搜索 第 10 频道,False
时间,明天 是 农历 几 号,False
计算,54 乘上 45,False
节目,电影频道 今天 放 什么,False
食谱,蛋黄 焗 薯条 怎么 做,False
地图,河北 在 哪里,False
股票,保利 地产 的 股票,False
新闻,该 我 读 新闻,False
地图,帮 我 看 一下 到 科大讯飞 最快 的 是 哪 条 路线,False
食谱,好 吧 我 想 知道 稻香 排骨 是 怎么 做 的,False
食谱,五梆瓜 鸡蛋 汤 怎么 做,False
天气,我 想 知道 北京 的 天气,False
电视频道,我 想 看 中央 十三 频道,False
电视频道,CCTV 新闻,False
天气,郑州 的 天气 怎么样,False
联络,哦 钢结构 的 电话 是 多少,False
翻译,挑逗 你 真 好玩儿 英语 怎么 说,False
健康,感冒 注意 什么,False
翻译,出口 在 哪里 英文 怎么 说,False
新闻,钓鱼岛 新闻,False
食谱,炝 拌 土豆丝,False
天气,龙岩市 天气,False
食谱,鱼香肉丝 怎么 炒,False
电话,打电话 给 六六 三,False
食谱,干锅 香辣虾,False
健康,包皮 包茎,False
食谱,我 说 吃 飞 蟹 怎么 做,False
短信,发短信 给 王勋 连 说 我 很 好,False
股票,查询 大北农 的 股票,False
翻译,虾 的 英文 怎么 说,False
app,打开 相机 这,False
网站,进 银河网,False
食谱,糖醋 鲤鱼 怎么 做 啊 你 只 负责 吃 c 则 c,False
诗歌,来 一 首 琵琶行,False
健康,破伤风 该 怎么 处理,False
股票,广汇 股份 的 收盘价格,False
食谱,嗯 咯 鸡爪 怎么 做 的,False
食谱,清蒸鱼 怎么 做 吴,False
节目,明晚 真人秀 频道 有 播放 过 百变大咖 秀 呢,False
新闻,占田 你 给 我 放 一下 最近 的 新闻,False
健康,痛经,False
诗歌,背诵 唐诗 三百 首 静夜思,False
节目,CCTV 9 明晚 有 转播 仁心 解码 2 呢,False
诗歌,唐代 诗人 李白,False
食谱,酱油 鸡,False
app,帮 我 找到 微信,False
电话,请拨 幺 幺 零,False
食谱,萝卜 炖排骨 汤 怎么 做,False
联络,张培 的 电话号码 是 多少,False
新闻,搜索 最新 新闻,False
网站,打开 腾讯 拍拍网,False
短信,发消息 给 周磊,False
谜语,讲 个 谜语 吧 辣,False
网站,打开 聚 划算 网站,False
电视频道,测试 信号 2,False
火车,帮 我 查 一下 明天 去 郑州 的 火车票,False
计算,45 的 倒数 多少 啊,False
诗歌,说 个 李白 的 诗 来 听听,False
时间,现在 的 日期,False
火车,从 余姚 到 贵阳 的 火车票,False
email,帮 我 发邮件 给 婷婷,False
短信,发条 短信 给 人名,False
网站,打开 浦发银行,False
新闻,泰州 新闻,False
诗歌,背 首 宋词,False
谜语,动物 谜语,False
网站,帮 我 链接 到 新浪网,False
诗歌,背 一 首 李白 的 诗来 听听,False
网站,上 广州 坐车 网 查 一下 从 这里 到 大 咋 地 怎么 走,False
节目,查下 安徽 电视台 今天 节目单,False
节目,15 号 的 我 愿意,False
天气,明天 桂林 天气 如何,False
计算,4 的 平方根 的 立方 加 9 的 2 次方 根 的 3 次方,False
短信,发短信 给 人名 晚上 回家 吃饭,False
新闻,帮 我 查 一 查 今天 的 新闻,False
地图,去 红 心中 路 怎么 走,False
日程,下午 的 日程 是 什么,False
短信,给 人名 发 个 短信 说 我 要 回家,False
节目,哪个 台 播放 节目,False
电视频道,打开 浦口 生活 资讯 频道,False
食谱,烧鸭 怎么 做,False
联络,把 人名 的 电话 发给 人名,False
飞机,明天 去 纽约 的 航班,False
股票,查询 一下 南方 航空 的 股票,False
天气,帮 我 查 一下 明日 天气,False
短信,发短信 给 王曼 希望 你 幸福,False
食谱,用 菜籽油 做 面包,False
email,替 我 回复 这封 邮件,False
诗歌,背 唐诗 李白 侠客行,False
谜语,帮忙 讲 几 个 谜语 给 我 猜,False
电话,打 给 宋 成钢,False
天气,海南 天气 怎么样,False
地图,帮 我 查 一下 到 狼牙山 怎么 走,False
食谱,红烧肉 怎么 煮 啊,False
食谱,怎样 做 凉拌,False
翻译,床 英文 怎么 说,False
食谱,木瓜 汤 怎么 做,False
地图,杭州 到 上海,False
电话,给 曹 广义 打电话,False
谜语,说 个 谜语 给 我 猜猜,False
食谱,用电 压力锅 怎么 蒸 米粉肉,False
食谱,做 糖醋排骨 需要 哪些 材料 呀,False
地图,查查 科大讯飞 在 哪儿,False
食谱,干锅 鱼 怎么 做,False
翻译,早上好 英语 怎么 讲,False
新闻,现在 有 什么 热点新闻,False
计算,3 次 根号 19,False
app,搜索 手机 办公 软件,False
短信,给 查乐 发短信,False
新闻,今天 重大新闻,False
火车,查 一下 从 广州 到 南宁 的 火车票,False
短信,发送 短信 给 老婆 我 在 三 号 楼 三 零 幺 刚才 那个 教室 关门 了,False
节目,明天 安徽 卫视 演 什么,False
食谱,打 豆浆 剩下 的 豆渣 怎样 做 好吃,False
app,打开 淘宝,False
天气,中山 天气 怎么样,False
翻译,你 还 没有 结婚 用 英语 怎么 讲,False
电视频道,江苏 党校 二 套,False
食谱,请问 鱼块 的 做法,False
谜语,不 辣 猜谜语,False
天气,你 知道 今天 南京 的 天气 吗,False
网站,开 网页,False
飞机,十月 四 号 从 广州 到 北京 的 飞机票 多少 钱,False
电话,幺 八九 幺 八九 二 二五 五五,False
飞机,阜阳 到 温州 的 航班,False
火车,查 一下 从 杭州 到 上海 高铁 时刻表,False
股票,查询 标准 股份 的 股票,False
日程,十五 分钟 之后 叫 我,False
股票,我 想 了解 地产 板块 股票 现在 怎么样,False
食谱,童子鸡 的 做法,False
食谱,就拉下 的 饺子 怎么 做,False
火车,查询 广州 到 贵港 的 火车,False
电话,给 爸爸 打电话,False
食谱,臭豆腐 怎么 做 啊,False
新闻,是否 还有 其他 关于 钓鱼岛 的 新闻,False
节目,你 知道 现在 广东 卫视 在 演 什么 吗,False
地图,从 武汉 到 呼和浩特,False
联络,把 李 会计 的 电话 发给 小江,False
诗歌,呦 呦 鹿鸣 的 下 一 句,False
电视频道,湖北 电视台,False
email,我 要 回复 这个 邮件,False
短信,发 信息 给 人名,False
节目,湖南卫视 有 什么 节目,False
短信,给 杨凯 发短信,False
新闻,今日 头条新闻,False
短信,我 要 发 信息 给 人名,False
地图,从 科大讯飞 到 天鹅湖 怎么 走 能 不 走 高速,False
股票,创元,False
app,给 我 打开 一下 qq,False
翻译,汽车 英语 怎么 讲,False
app,百度 浏览器 打开,False
天气,今天 东莞 天气 如何,False
地图,从 观音桥 到 重庆市 图书馆 怎么 走,False
食谱,鸭蛋 怎么 腌,False
健康,怎么 治疗 牛皮癣,False
食谱,阳澄湖 大闸蟹 的 做法,False
食谱,红烧肉 怎么 做 嗯,False
火车,南京 到 厦门 的 火车票,False
计算,6 的 平方,False
翻译,翻译 慷慨激昂,False
电视频道,女性 时尚,False
火车,查 一下 南昌 到 南京 的 火车,False
诗歌,背 首 绝句 的,False
健康,类风湿 怎么 治,False
网站,apple,False
股票,代码 000800 的 股票 涨幅 是 多少,False
诗歌,我 背 一下 春晓,False
app,打开 酷狗 并 随机 播放,False
电话,打电话 给 大培,False
翻译,我 今天 去 北京 了 英语 怎么 说,False
诗歌,来首 唐诗 小池,False
联络,新建 联系人 张雨 号码 是 五 六七,False
app,打开 应用 漫画,False
飞机,去 北京 有 什么 飞机,False
诗歌,给 我 背 一 首 满江红,False
计算,次方 根 下 25,False
地图,怎么 去 泉城 广场,False
股票,陈娴 TCL 股票 是 涨 还是 跌 了,False
计算,123 和 34 的 差 等于 多少,False
健康,耳鸣 怎么办,False
天气,那会 不会 下雨,False
短信,发 信息 给 人名,False
比赛,查询 中超 赛事,False
火车,去 枣庄 的 火车,False
食谱,排骨 怎么弄 才 好吃,False
日程,十 分钟 后 叫 我 起床,False
短信,给 人名 发 个 短信 说 他 让 他 起来 尿尿,False
地图,到 太湖 怎么 走,False
诗歌,蒋捷 的 宋词,False
新闻,看 一下 今天 有 什么 新闻,False
食谱,酸菜鱼 的 做法 妈,False
飞机,查寻 合肥 到 北京 的 航班,False
网站,幻剑 书盟 网,False
节目,CCTV 5 节目表,False
谜语,来个 灯谜 吧,False
飞机,帮 我 查 一下 明天 广州 到 北京 的 航班,False
节目,明天 晚上 湖南卫视 演 什么 电视剧,False
火车,查 一下 兰州 到 成都 的 火车票,False
火车,查询 柳州 到 昆明 的 列车,False
地图,带我去 丹阳市 眼镜 市场,False
诗歌,背 首 静夜 思来 听 一下,False
食谱,怎样 蒸 排骨 最 好吃 的,False
email,我 想要 转发 这 条 邮件,False
食谱,蒜苔 的 做法,False
新闻,看 一下 今天 早上 新闻,False
时间,植树节 是 什么 时候,False
食谱,做 鱼 怎么 做,False
日程,清空 提醒,False
电话,呼叫 徐媛,False
短信,发短信 给 幺 零零 八六 内容 是 十一,False
新闻,给 我 点 新闻,False
翻译,你 今天 去 了 哪里 用 英文 怎么 讲,False
翻译,你 好 丑 用 英文 怎么 说,False
天气,查看 武汉 天气,False
节目,现在 电视台 在 放 什么 节目,False
股票,煤炭 板块 股票 查询,False
食谱,搜索 西米露 的 做法,False
诗歌,李白 的 将进酒,False
节目,现在 电视台 在 播 什么,False
时间,哪一天 国际 牛奶 日,False
时间,元宵节 还有 几 个 星期,False
电话,拨打 张 月华 的 电话,False
食谱,怎么弄 红烧肉 哦,False
诗歌,念 个 唐诗 给 我 听,False
节目,我 想 看 中央 六 台 的 电影,False
天气,常州 天气预报,False
飞机,明天 回 广州 的 航班,False
节目,环球 旅游 明天 有 演 我 爱 饭 米粒,False
诗歌,帮 我 找 首 诗,False
比赛,中超 A 组 比赛结果 分别 是 多少,False
时间,武汉 的 精确 时间 是,False
节目,收看 安徽 卫视 节目,False
app,上 QQ 我,False
电视频道,CCTV 7 军事 农业,False
日程,设置 定时 关机,False
短信,发 信息 给 老婆 说 我 不 回家 吃饭 了,False
网站,上 新蛋 网,False
翻译,翻译 李淼,False
电话,打电话 给 幺 三八 八九 六七 五八 六七,False
食谱,赵 包子 怎么 做 的 你,False
火车,到 北京 的 火车 班次,False
节目,现在 哪个 台 在 播放 剧情 电视剧,False
食谱,怎样 做 糖醋排骨 时 去 吃饭 洗澡 了,False
诗歌,来 一 首 灵岩,False
健康,如何 治疗 感冒,False
地图,六安市 飞云 卫生院 在 哪里,False
节目,中央 一 套 什么 时候 有 建党 伟业,False
联络,把 张玉娟 的 手机号码 发送给 吴伟,False
天气,今天天气 冷 吗,False
食谱,苦瓜 要 怎么 做 比较 好吃,False
app,打开 语音 软件,False
app,帮 我 打开 电话本,False
股票,查询 三一 重工 股票,False
翻译,香蕉 的 英语 怎么 说,False
股票,腾讯 股票 昨日 收盘价,False
食谱,能 山药 怎么 做,False
飞机,八月 十一 日 从 厦门 飞往 上海 的 航班,False
诗歌,思 春夜 喜雨 下 一 句 是,False
健康,得 了 肝癌 怎么办,False
食谱,怎样 炒 肉,False
短信,给 于海洋 发短信,False
天气,郑州 天气 怎么样,False
新闻,帮 我 搜索 一下 今天 的 新闻,False
飞机,上海 到 青岛 的 飞机票,False
飞机,大连 飞往 上海 的 航班,False
天气,我 想 知道 深圳 明天 的 天气,False
食谱,久久 鸭 怎么 做,False
翻译,你 去 玩 手机 了 吧 用 英语 怎么 说,False
食谱,红薯 粉 的 做法 了,False
新闻,听听 新闻,False
健康,前列腺炎 该 怎么 治,False
翻译,我 想 打 你 英语 怎么 说,False
短信,给 人名 一 条 短信,False
股票,伊利 股份 股票,False
诗歌,来 一 首 李煜 的 词,False
节目,湖南卫视 娱乐节目,False
email,我 要 答复 邮件,False
飞机,明天 去 南昌 的 航班,False
健康,乳腺炎,False
新闻,多 想 听 新闻 哦,False
翻译,去 你 的 用 英文 怎么 说,False
食谱,麻辣烫 做法,False
电视频道,中央台 五套,False
飞机,明天 长沙 到 上海 的 航班,False
食谱,红烧 土豆 怎么 烧,False
地图,宁乡 到 长沙 怎么 走,False
app,开启 通讯录,False
食谱,简单 的 糖醋排骨 怎么 做,False
天气,沈阳 今天天气,False
节目,给 我 搜 搜 什么 电视台 什么 时间 有 转播 神探 高伦布,False
app,opera 浏览器,False
新闻,我 想 听 昨天晚上 的 新闻,False
天气,明天 泸州 天气 如何,False
日程,设置 提醒,False
食谱,民间 小炒 肉 的 做法,False
食谱,鱼香肉丝 肉 怎么 做,False
电视频道,福建 电视台,False
飞机,明天 珠海 到 青岛 的 航班,False
健康,甲型肝炎,False
新闻,今天 东莞 新闻,False
节目,现在 最 好看 的 电影,False
火车,查 一下 苏州 到 洛阳 的 火车票,False
食谱,帮 我 查 一下 可乐 鸡翅 怎么 做,False
飞机,南京 到 成都 的 机票,False
节目,世界 地理 的 节目单,False
食谱,辣 兰州 拉面 的 配方,False
节目,搜索 电视剧 爱情 悠悠 药草 香 在 哪个 频道 首播,False
email,发邮件 给 莹莹 说 我 好困 我 想 睡觉,False
翻译,早点 死 英文 怎么 翻译,False
节目,回看 安徽 卫视 烽火 佳人,False
天气,苍溪 的 天气,False
股票,查下 李宁 公司 的 股票,False
电话,给 王涛 打电话,False
股票,查寻 上海 能源 的 股票,False
新闻,告诉 我 今天 的 新闻 内容,False
电视频道,我 要 看 中央 五台,False
食谱,送 黄 炒鸡蛋 怎么 做,False
email,我 想 写 一个 新邮件,False
网站,进入 讯 飞 官网,False
食谱,煲 鸡汤 呢,False
火车,帮 我 查 一下 赣州 到 杭州 的 火车票,False
新闻,答复 我 要 听 新闻,False
谜语,我 要 猜字谜 不笨 有 答案,False
电话,给 我 接听电话,False
地图,到 郑州火车站,False
飞机,7 月 25 号 去 上海 的 航班,False
电话,拨打 幺 三九 七七 零九 八七 七六,False
食谱,大闸蟹 的 做法,False
节目,昨天 的 北京 新闻,False
新闻,我 要 听 新闻,False
网站,打开 丰顺县 政府网,False
节目,今天 有些 什么 电影,False
新闻,艳照 门 事件,False
比赛,江苏舜天队 这个 星期 的 比赛 时间 给 我 找 出来,False
诗歌,给 我 来首 唐诗 三百 首,False
短信,发短信 给 人名 晚上 要 不要 出去玩,False
食谱,怎么 煮面 才 好吃 呢,False
计算,23 减去 根号 4,False
飞机,帮 我 查 一下 杭州 到 长春 的 飞机 航班,False
节目,搜 一下 CCTV 7 4 月 15 号 播出 新 编辑部 的 故事 呢,False
诗歌,各 来 一 首 李白 的 诗词,False
电视频道,我 想 看 高尔夫 网球 频道,False
电视频道,央 3,False
翻译,我 不 在家 英语 怎么 说,False
app,打开 uc 浏览器 v 八,False
日程,提醒 我 明天 约 老同学,False
节目,中央 四 频道 火箭 兜风,False
诗歌,朗读 咏雪,False
网站,打开 索尼 官方网站,False
节目,电视台 在播 什么 节目,False
网站,苏宁 易购,False
节目,北京 卡酷 熊出没,False
食谱,鱼 的 做法,False
食谱,求 米线 怎么 做,False
联络,把 人名 的 号码 发给 副 卡,False
地图,帮 我 搜 一下 科大讯飞 在 哪,False
地图,我 要 去 姜堰,False
电话,打电话 给 摩托 老师,False
网站,打开 三星 首页,False
新闻,但 我 想 点 新闻,False
天气,天气 怎样,False
电视频道,CCTV 少儿,False
地图,从 我 这里 去 芙蓉 区政府 怎么 去,False
股票,查询 一汽 轿车 股票,False
短信,发送 短信 给 陈群,False
谜语,查 个 字谜,False
网站,但是 我 想 上 腾讯网,False
天气,巴中 的 天气,False
食谱,黄豆 猪蹄 汤,False
网站,激动,False
火车,广州 到 孝感 的 火车,False
app,搜狗,False
电话,打电话 电话号码,False
天气,洛阳 的 天气,False
翻译,我 不 明白 用 英文 怎么 讲,False
股票,人福 医药 股票,False
节目,上 周六 发现 之旅 有 演 星 跳 水立方 呢,False
短信,给 人名 发短信 你 在 干吗,False
飞机,后天 去 武汉 的 航班,False
股票,搜索 中国移动 的 股市行情,False
食谱,慕斯 的 做法,False
火车,查询 昆明 到 合肥 的 火车,False
新闻,讲 点 新闻,False
计算,根号 76,False
电视频道,就是 很 想 看 一下 大众 影院,False
食谱,炖 鲢鱼 怎么 做,False
电视频道,江苏 影视,False
节目,看 中央 七 频道 讲武堂 节目,False
食谱,石螺 怎么 煮,False
天气,临沂 的 天气,False
食谱,如何 做 芝麻糊,False
电话,打电话 给 丹丹 移动,False
健康,尿道炎 怎么办,False
食谱,怎么 做 冰激凌,False
网站,四川 新闻网,False
app,瓷 我 要 上 QQ,False
食谱,如何 炒花生,False
飞机,南航 1003,False
谜语,讲 一个 谜语 和 答案,False
诗歌,我心 照明 月 后面 一 句 是 什么,False
食谱,福寿 鱼 做法,False
地图,帮 我 找到 去 安徽 黄山 的 路,False
食谱,如何 做 煎饼,False
日程,本 周 还有 什么 待办 事项,False
短信,给 青 发短信,False
诗歌,给 我 背 个 李白 的 诗,False
飞机,济南 到 汉中 的 飞机票,False
食谱,帮 我 搜索 一下 有 什么 家常菜,False
app,打开 相机 我 想 你,False
电视频道,电视台 列表,False
网站,看 网易 财经,False
天气,查看 汕头 天气,False
食谱,鱼要 怎么 煮 才 好吃,False
app,我 把 相机 打开,False
诗歌,学而不厌 下 一 句 是 什么,False
app,打开 uc 浏览器 登录 新浪网 主页,False
节目,前 两 个 星期 时代 出行 有 播 X 女特工 呢,False
食谱,教 我 做 馒头,False
节目,电视台 放 什么,False
食谱,怎么 做 洋葱 炒蛋,False
诗歌,背 屈原 的 离骚,False
火车,帮 我 在 百度 里 搜 一下 东莞 到 北京 的 火车,False
新闻,最近 有 什么 热门 新闻 了,False
节目,今天 湖南卫视 的 电子 节目单,False
网站,我 要 打开 百度,False
网站,上 美空 网,False
股票,中 水 渔业 的 股票,False
翻译,很 高兴 见到 你 英文 怎么 讲,False
食谱,意大利 面,False
飞机,查询 广州 到 海南 的 航班,False
短信,发短信 给 人名 快点 给 我 送 早饭 开门 我 饿死 了,False
食谱,烤鸡 翅 怎么 做,False
节目,8 点 河北 卫视 播放 过 恋 了 爱 了,False
地图,导航 去 科大讯飞,False
地图,郑州火车站 怎么 走,False
email,我 要 回复 这 条 邮件,False
火车,查询 泉州 到 上海 的 动 车票,False
食谱,培根 金针菇 怎么 做,False
诗歌,您 给 我 来 一 首 夏明翰 的 就义 诗,False
电视频道,切换 到 CCTV,False
联络,把 平水 相逢 的 手机号码 发给 8000,False
股票,中国银行 股票 怎么样,False
飞机,查询 4 月 1 号 从 武汉 到 广州 的 航班,False
食谱,西兰花 怎么 做,False
食谱,酱 茄 条 做法,False
email,帮 我 写 个 邮件,False
短信,发 信息 给 人名 老婆,False
食谱,虾 炒蛋 怎么 做,False
翻译,我 去 飞机场 英语 怎么 说,False
食谱,四川 美食,False
股票,天利,False
食谱,四喜 丸子 怎么 做,False
电视频道,海南 旅游 卫视,False
翻译,翻译 爸爸,False
火车,明天 到 合肥 的 火车,False
诗歌,给 我 来 一 首 山歌 吗,False
电视频道,央视 1 高清,False
谜语,再来一个 脑筋 急转弯,False
飞机,上海 到 淮安 的 飞机,False
日程,提醒 我 明天 约 了 老同学 的 小聚 一下,False
诗歌,说 一 句 白居易 的 诗,False
日程,明天 8 : 10 叫 我 啊,False
地图,辽宁大连 在 哪里,False
节目,高清 电影 昨天晚上 的 节目,False
火车,厦门 到 赣州 的 火车票,False
网站,我 想 上 网易,False
联络,人名,False
翻译,桔子 英文 怎么 说,False
食谱,扁豆 豆角 怎么 烧,False
节目,熊出没 是 几 点 开始 播放,False
新闻,请问 一下 军事 新闻,False
电视频道,高清 深圳 台,False
网站,现在 打开 你 的 官网,False
食谱,米粉肉 怎么 做,False
新闻,今天 惠州 新闻,False
电视频道,游戏 竞技 频道,False
食谱,松菜 鱼 怎么 做,False
日程,给 我 定 一个 8 : 10 的 闹钟,False
天气,明天 的 天气 是 是 什么,False
诗歌,你 给 我 念 一 首 李白 的 诗,False
股票,南钢 股票 今日 开盘,False
火车,深圳 到 开封 的 火车,False
健康,甲亢 怎么办,False
地图,查询 沿途 的 KTV,False
app,嗯 打开 相机,False
天气,天气 桂林,False
飞机,青岛 到 广州 航班,False
食谱,做 红酒 怎么 做 啊,False
食谱,花格 等 蛋 的 做法,False
新闻,报 点 新闻 给 我 听,False
电话,给 高兴 打电话,False
天气,查 一下 明天 福州 的 天气,False
飞机,南昌 到 广州 飞机票,False
地图,我 所在 地理位置,False
app,国际象棋 开局,False
食谱,肉肉 怎么 腌制,False
节目,CCTV - 10 的 百家讲坛,False
网站,打开 河南 英 东 网站,False
天气,明天 天气 如何,False
网站,打开 百度 啊,False
天气,呼和浩特 的 天气 怎么样 呢,False
